office,sector,program,function
Alcaldía de San Salvador,Municipalidades,Municipalidades,Desarrollo territorial
Academia Nacional de Seguridad Pública,Ejecutivo,Descentralizadas,Seguridad y justicia
Administración Nacional de Acueductos y Alcantarillados,Ejecutivo,Descentralizadas,Desarrollo social
Alcadía de Zacatecoluca,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía Municipal de Ahuachapán,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía Municipal de Chiltiupán,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía Municipal de Juayúa,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía Municipal de Mejicanos,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía Municipal de Panchimalco,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía Municipal de San Marcos,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía Municipal de San Miguel,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía Puerto El Triunfo,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía Puerto de la Libertad,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía de Antiguo Cuscatlán,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía de Apopa,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía de Ciudad Delgado,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía de Ilopango,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía de Nejapa,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía de Nueva Concepción - Chalatenango,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía de Quezaltepeque,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía de San Martín,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía de San Vicente,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía de Santa Tecla,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía de Santo Tomás,Municipalidades,Municipalidades,Desarrollo territorial
Alcaldía de Soyapango,Municipalidades,Municipalidades,Desarrollo territorial
Alianza Republicana Nacionalista ,Partidos,Partidos,Conducción
Asamblea Legislativa,Legislativo,Legislativo,Conducción
Autoridad de Aviación Civil de El Salvador ,Ejecutivo,Descentralizadas,Desarrollo económico
Banco Central de Reserva,Ejecutivo,Financieras,Desarrollo económico
Banco de Fomento Agropecuario,Ejecutivo,Financieras,Desarrollo económico
Cambio Democrático,Partidos,Partidos,Conducción
Centro Nacional de Registros,Ejecutivo,Descentralizadas,Desarrollo económico
Comisión Ejecutiva Hidroeléctrica del Río Lempa ,Ejecutivo,Descentralizadas,Desarrollo económico
Comisión Ejecutiva Portuaria Autonóma,Ejecutivo,Descentralizadas,Desarrollo económico
Comisión Nacional de la Micro y Pequeña Empresa,Ejecutivo,Descentralizadas,Desarrollo económico
Consejo Nacional de la Judicatura,Judicial,Gob. Central,Seguridad y justicia
Consejo Nacional de la Niñez y Adolescencia,Ejecutivo,Descentralizadas,Desarrollo social
Corte de Cuentas de la República,Org. Control,Gob. Central,Conducción
Dirección General de Centros Penales ,Ejecutivo,Gob. Central,Seguridad y justicia
Fiscalía General de la República ,Judicial,Gob. Central,Seguridad y justicia
Fondo Solidario para la Familia Microempresaria ,Ejecutivo,Descentralizadas,Desarrollo económico
Fondo Solidario para la Salud,Ejecutivo,Descentralizadas,Desarrollo social
Fondo de Conservación Víal ,Ejecutivo,Descentralizadas,Desarrollo económico
Fondo de Inversión Social para el Desarrollo Local,Ejecutivo,Descentralizadas,Desarrollo social
Frente Farabundo Martí para la Liberación Nacional. ,Partidos,Partidos,Conducción
Gran Alianza Por La Unidad Nacional,Partidos,Partidos,Conducción
Instituto Nacional de la Juventud ,Ejecutivo,Descentralizadas,Desarrollo social
Instituto Nacional de los Deportes ,Ejecutivo,Descentralizadas,Desarrollo social
Instituto Salvadoreño Para el Desarrollo Integral de la Niñez y la Adolescencia,Ejecutivo,Descentralizadas,Desarrollo social
Instituto Salvadoreño de Formación Profesional,Ejecutivo,Descentralizadas,Desarrollo económico
Instituto Salvadoreño del Seguro Social,Ejecutivo,Descentralizadas,Desarrollo social
Instituto Salvadoreño para el Desarrollo de la Mujer,Ejecutivo,Descentralizadas,Desarrollo social
Instituto de Acceso a la Información Pública,Org. Control,Gob. Central,Conducción
Instituto de Previsión Social de la Fuerza Armada ,Ejecutivo,Descentralizadas,Seguridad y justicia
Ministerio de Agricultura y Ganadería,Ejecutivo,Gob. Central,Desarrollo económico
Ministerio de Cultura,Ejecutivo,Gob. Central,Desarrollo social
Ministerio de Economía,Ejecutivo,Gob. Central,Desarrollo económico
Ministerio de Educación,Ejecutivo,Gob. Central,Desarrollo social
Ministerio de Gobernación,Ejecutivo,Gob. Central,Conducción
Ministerio de Hacienda,Ejecutivo,Gob. Central,Conducción
Ministerio de Justicia y Seguridad Pública,Ejecutivo,Gob. Central,Seguridad y justicia
Ministerio de Medio Ambiente y Recursos Naturales,Ejecutivo,Gob. Central,Desarrollo económico
Ministerio de Obras Públicas,Ejecutivo,Gob. Central,Desarrollo económico
Ministerio de Relaciones Exteriores,Ejecutivo,Gob. Central,Conducción
Ministerio de Salud,Ejecutivo,Gob. Central,Desarrollo social
Ministerio de Trabajo y Previsión Social,Ejecutivo,Gob. Central,Desarrollo económico
Ministerio de la Defensa Nacional,Ejecutivo,Gob. Central,Seguridad y justicia
Organismo Promotor de Exportaciones e Inversiones de El Salvador ,Ejecutivo,Descentralizadas,Desarrollo económico
Organo Judicial y Corte Suprema de Justicia,Judicial,Gob. Central,Seguridad y justicia
Policía Nacional Civil,Ejecutivo,Gob. Central,Seguridad y justicia
Presidencia de la República,Ejecutivo,Gob. Central,Conducción
Procuraduría General de la República,Judicial,Gob. Central,Seguridad y justicia
Procuraduría para la Defensa de los Derechos Humanos,Org. Control,Gob. Central,Seguridad y justicia
Tribunal Supremo Electoral,Org. Control,Gob. Central,Conducción
Tribunal de Ética Gubernamental,Org. Control,Gob. Central,Conducción
Unidad Técnica Ejecutiva del Sector Justicia,Judicial,Gob. Central,Seguridad y justicia
Universidad de El Salvador,Ejecutivo,Descentralizadas,Desarrollo social
Viceministerio de Transporte,Ejecutivo,Gob. Central,Desarrollo económico
